ID,model depth,MSE,SE
1,origin,3.281008674907876e-08,1.0791415380181591e-07
2,origin,0.00015180776904983787,0.05637075547005625
3,origin,0.00010226356681870106,0.0016357628953381383
4,origin,0.0005704655162942677,0.02615111710616099
5,origin,4.90192483369869e-05,0.1582099370319514
1,origin+10,9.92E-07,6.65E-05
2,origin+10,3.309740384,6.619478407
3,origin+10,1.65E-07,1.65E-07
4,origin+10,0.00010088092364094497,0.05614176714233616
5,origin+10,1.164374826,4.657499306
1,origin+20,1.41E-07,1.57E-07
2,origin+20,0.005471035,1.270541782
3,origin+20,3.91E-08,7.83E-08
4,origin+20,0.015625011712808574,0.9999997615814209
5,origin+20,1.504647899,60.17867768
1,origin+30,1.8387846571992419e-07,1.8387846571992419e-07
2,origin+30,2.164633793286297e-08,7.852646445028552e-08
3,origin+30,1.8834422266925338e-08,9.287043563589615e-08
4,origin+30,1.1966649231622422e-06,2.3800212320043114e-06
5,origin+30,1.0567835087025572,42.268363221421055
